,Month,Model,Region,Type,Value
0,1,GEM-NEMO,AO,R,0.9327172031408059
1,1,GEM-NEMO,AO,RMSE,0.8478610515594482
2,1,GEM-NEMO,PDO,R,0.9898418792740199
3,1,GEM-NEMO,PDO,RMSE,1.799277424812317
4,1,GEM-NEMO,WP,R,0.9245753299386262
5,1,GEM-NEMO,WP,RMSE,0.8732007741928101
6,1,GEM-NEMO,Nino,R,0.9060560936591002
7,1,GEM-NEMO,Nino,RMSE,0.670060932636261
8,1,GEM-NEMO,SIO,R,0.9878123107904911
9,1,GEM-NEMO,SIO,RMSE,0.9504027962684631
10,1,GEM-NEMO,SPO,R,0.986587935927737
11,1,GEM-NEMO,SPO,RMSE,0.8946701884269714
12,1,GEM-NEMO,SAO,R,0.9859994163075672
13,1,GEM-NEMO,SAO,RMSE,1.1031240224838257
14,2,GEM-NEMO,AO,R,0.9247927181827605
15,2,GEM-NEMO,AO,RMSE,0.8810073137283325
16,2,GEM-NEMO,PDO,R,0.9878209988645708
17,2,GEM-NEMO,PDO,RMSE,1.8710190057754517
18,2,GEM-NEMO,WP,R,0.905046237415352
19,2,GEM-NEMO,WP,RMSE,1.0190297365188599
20,2,GEM-NEMO,Nino,R,0.8747519665353563
21,2,GEM-NEMO,Nino,RMSE,0.8700429201126099
22,2,GEM-NEMO,SIO,R,0.9851487350965898
23,2,GEM-NEMO,SIO,RMSE,1.0470601320266724
24,2,GEM-NEMO,SPO,R,0.9830050127864498
25,2,GEM-NEMO,SPO,RMSE,0.9842805862426758
26,2,GEM-NEMO,SAO,R,0.982350672663024
27,2,GEM-NEMO,SAO,RMSE,1.2385289669036865
28,3,GEM-NEMO,AO,R,0.9185623756878869
29,3,GEM-NEMO,AO,RMSE,0.9216688275337219
30,3,GEM-NEMO,PDO,R,0.9862857514032347
31,3,GEM-NEMO,PDO,RMSE,1.9498155117034912
32,3,GEM-NEMO,WP,R,0.8902366944147388
33,3,GEM-NEMO,WP,RMSE,1.1301261186599731
34,3,GEM-NEMO,Nino,R,0.8442773734603936
35,3,GEM-NEMO,Nino,RMSE,1.030005693435669
36,3,GEM-NEMO,SIO,R,0.9833346780231589
37,3,GEM-NEMO,SIO,RMSE,1.1332950592041016
38,3,GEM-NEMO,SPO,R,0.9804440937729257
39,3,GEM-NEMO,SPO,RMSE,1.0632916688919067
40,3,GEM-NEMO,SAO,R,0.9793131883988071
41,3,GEM-NEMO,SAO,RMSE,1.366758108139038
