Date,AUS-ACCESS,BCC_CSM11m,CMC CANSIP,COLA CCCSM4,CS-IRI-MM,DWD,ECMWF,GFDL SPEAR,IOCAS ICM,JMA,KMA,LDEO,MetFRANCE,NASA GMAO,NCEP CFSv2,SINTEX-F,UKMO,BCC_RZDM,CPC CA,CPC MRKOV,CSU CLIPR,IAP-NN,UCLA-TCD,UW PSL-CSLIM,UWPSL-LIM,CPC CONSOL,DYN AVG,STA AVG,Prediction,OBS,err
1,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,1.88682,,
2,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,1.7726256,,
3,1.603732,1.5831957,1.4495933,1.5159835,1.5747428,1.7091946,1.5526173,1.5013793,1.5166685,1.4617726,1.4288926,1.4508537,1.7301967,1.4230975,1.3509259,1.5761676,1.5965395,1.3603789,1.3711608,1.2045962,0.7821978,1.572496,1.5350402,1.3804357,1.4518675,1.3171965,1.5166685,1.3503916,1.4438667,1.5831957,0.215
4,1.418097,1.3765175,1.1245608,1.212323,1.3765175,1.6341323,1.3224162,1.2247489,1.2659859,1.1496044,1.0839403,1.1279173,1.6874253,1.0723227,0.9248559,1.3693387,1.4320847,0.9477897,0.9693535,0.633498,-0.1999826,1.3883817,1.2963999,1.0077957,1.133274,0.8415873,1.254108,0.9248559,1.1735931,1.1761961,0.223
5,1.1570709,0.74118,0.6018647,0.6993265,0.8389021,1.4717325,0.9248422,0.801186,0.9731621,0.7286582,0.5786432,0.8057618,1.2306947,1.0723227,0.496772,0.8560682,0.8869343,0.5242542,0.6018647,0.479647,-0.4314715,1.1055315,0.9337883,0.5684778,0.6917093,0.479647,0.8414777,0.5887812,0.6667205,0.8409842,0.258
6,0.859822,0.40553,-0.0542283,0.052755,0.4159968,1.1287393,0.5251858,0.3373999,0.3944741,0.306753,0.0783603,0.4668375,0.7226439,0.301684,-0.0719013,0.1108156,0.2526106,0.2329785,0.1786032,0.3525658,-0.6605629,0.7435912,0.5788213,0.2001944,0.2828328,0.0694964,0.327714,0.2565425,0.1074454,0.143418,0.358
7,0.5977684,0.1728081,-0.5718554,-0.765409,0.0313419,0.7932126,0.2131546,-0.0939583,-0.08904,-0.0175945,-0.3906318,0.0264236,0.288258,-0.4761883,-0.6117635,-0.4531997,-0.3022942,-0.054105,-0.3071166,0.23839,-0.8534589,0.3792397,0.2710782,-0.0767374,-0.0342948,-0.310569,-0.1314141,-0.0415147,-0.2074628,,0.44
8,,0.0908958,-0.9662236,-1.5340475,-0.2321913,,-0.043556,-0.3360921,-0.5153566,-0.2397811,,-0.3538199,0.0374247,-1.2497314,-1.0245856,-0.8019058,,-0.3063905,-0.7660255,0.1463123,-0.8757214,0.0066134,0.0402195,-0.3442573,-0.3308039,-0.6061602,-0.6061602,-0.2938002,-0.4175112,,0.4956
9,,0.0908958,-1.2047406,-2.1044607,-0.4076335,,,-0.4006191,-0.7826573,,,-0.5238369,,-1.7666187,-1.3160257,-0.8751323,,-0.5427292,-1.1016755,0.0687429,-0.9060943,-0.3289955,-0.1802957,-0.3442573,-0.5613338,-0.8004536,-0.9761835,-0.5111918,,,
10,,0.1235155,-1.29464,-2.3773784,,,,-0.4557068,-0.9689773,,,-0.4883128,,-2.1580962,-1.547679,-0.9454544,,-0.7689162,-1.29464,0.0266976,-0.9350835,-0.6126677,-0.3696845,,-0.7425711,-0.9886505,-1.1650106,-0.6699611,,,
11,,0.1778908,-1.3287119,-2.4918556,,,,-0.5927205,-1.1444195,,,-0.3592725,,-2.4987604,,-0.9758958,,-0.9375906,-1.3992806,-0.0153477,-1.3590026,-0.7953846,-0.5232752,,-0.8846675,-0.5802124,-0.9659907,-0.8403206,,,
12,,0.2293617,-1.3287119,-2.4918556,,,,-0.7297479,-1.3473987,,,-0.1330718,,,,-0.9973637,,-1.1951917,-1.5036609,-0.0218689,-1.7707698,-0.9258771,-0.5914327,,-0.98365,-0.6079686,-0.984472,-0.9973637,,,
